Date,Close,Open,High,Low,Vol,Change,ich_base_line,ich_conv_line,ich_span_a,ich_span_b
2018-10-09,6650.8,6669.6,6678.9,6613.3,80790.0,-0.28,6405.15,6367.2,,6602.55
2018-10-10,6618.0,6650.6,6653.5,6526.0,101930.0,-0.49,6405.15,6367.2,,6602.55
2018-10-11,6239.1,6618.0,6622.5,6206.2,245280.0,-5.72,6405.15,6452.85,,6602.55
2018-10-12,6291.3,6239.2,6344.8,6206.8,147400.0,0.84,6405.15,6452.85,,6602.55
2018-10-13,6321.7,6291.3,6329.3,6282.8,94450.0,0.48,6405.15,6452.85,,6541.6
2018-10-14,6326.8,6321.6,6390.9,6300.0,99380.0,0.08,6405.15,6452.85,,6541.6
2018-10-15,6699.8,6326.8,7358.4,6300.2,443330.0,5.9,6667.7,6782.299999999999,,6505.9
2018-10-16,6705.3,6712.4,6836.7,6645.4,155850.0,0.08,6667.7,6782.299999999999,,6505.9
2018-10-17,6686.6,6718.9,6745.9,6637.8,136710.0,-0.28,6667.7,6782.299999999999,,6505.9
2018-10-18,6574.1,6690.1,6736.3,6530.6,134150.0,-1.68,6667.7,6782.299999999999,,6505.9
2018-10-19,6512.0,6576.4,6603.2,6506.9,121440.0,-0.94,6667.7,6782.299999999999,,6505.9
2018-10-20,6572.2,6511.7,6593.7,6495.9,97770.0,0.92,6667.7,6782.6,,6505.9
2018-10-21,6583.0,6575.9,6643.1,6568.0,92940.0,0.16,6696.65,6820.6,,6422.15
2018-10-22,6555.8,6583.0,6612.7,6529.5,101570.0,-0.41,6696.65,6829.2,,6422.15
2018-10-23,6528.7,6558.6,6573.6,6500.5,108860.0,-0.41,6696.65,6829.299999999999,,6422.15
2018-10-24,6530.7,6531.2,6593.8,6522.6,98740.0,0.03,6696.65,6666.299999999999,,6422.15
2018-10-25,6507.0,6532.5,6544.8,6491.5,97430.0,-0.36,6696.65,6618.7,,6422.15
2018-10-26,6510.0,6507.0,6570.5,6498.5,97170.0,0.05,6696.65,6613.9,,6422.15
2018-10-27,6494.2,6510.0,6534.0,6473.7,76720.0,-0.24,6696.65,6558.4,,6422.15
2018-10-28,6486.1,6494.6,6502.2,6461.2,93970.0,-0.12,6782.299999999999,6552.15,,6422.15
2018-10-29,6335.0,6486.1,6498.4,6310.5,160520.0,-2.33,6782.299999999999,6476.8,,6422.15
2018-10-30,6325.7,6336.7,6469.9,6316.5,128210.00000000001,-0.15,6782.299999999999,6461.6,,6422.15
2018-10-31,6365.9,6327.9,6405.7,6257.8,129060.0,0.64,6782.299999999999,6425.8,,6422.15
2018-11-01,6400.5,6365.9,6421.8,6354.2,124160.0,0.54,6782.299999999999,6425.8,,6422.15
2018-11-02,6424.7,6400.5,6444.3,6390.9,135870.0,0.38,6782.299999999999,6414.15,,6422.15
2018-11-03,6386.2,6424.5,6429.5,6346.2,112840.0,-0.6,6782.299999999999,6414.15,6394.674999999999,6422.15
2018-11-04,6478.2,6386.2,6508.9,6359.7,128759.99999999999,1.44,6782.299999999999,6395.9,6386.174999999999,6422.15
2018-11-05,6459.7,6478.2,6489.2,6431.7,128509.99999999999,-0.29,6782.299999999999,6383.35,6386.174999999999,6422.15
2018-11-06,6502.8,6460.4,6509.6,6441.6,154870.0,0.67,6782.6,6383.700000000001,6429.0,6422.15
2018-11-07,6565.3,6503.1,6594.3,6502.0,170760.0,0.96,6808.1,6426.05,6429.0,6422.15
2018-11-08,6474.0,6565.3,6577.3,6466.3,159300.0,-1.39,6808.1,6426.05,6429.0,6422.15
2018-11-09,6412.0,6473.8,6496.1,6390.0,151600.0,-0.96,6808.1,6470.25,6429.0,6422.15
2018-11-10,6427.1,6411.9,6461.7,6411.7,115870.0,0.24,6547.25,6470.25,6725.0,6667.7
2018-11-11,6446.1,6427.1,6451.7,6359.0,127400.0,0.3,6501.85,6470.25,6725.0,6667.7
2018-11-12,6435.0,6445.0,6475.9,6409.4,130160.0,-0.17,6497.05,6476.65,6725.0,6667.7
2018-11-13,6429.2,6435.0,6466.8,6386.7,137600.0,-0.09,6450.450000000001,6476.65,6725.0,6667.7
2018-11-14,5842.4,6428.9,6453.3,5619.2,438210.0,-9.13,6131.15,6106.75,6725.0,6667.7
2018-11-15,5718.9,5854.0,5878.5,5384.1,375860.0,-2.11,6013.6,5989.200000000001,6725.15,6667.7
2018-11-16,5636.2,5723.5,5747.7,5539.7,224120.0,-1.45,5998.4,5980.700000000001,6758.625,6667.7
2018-11-17,5621.8,5636.2,5645.5,5561.4,156510.0,-0.26,5989.200000000001,5940.1,6762.924999999999,6667.7
2018-11-18,5658.3,5621.0,5727.9,5615.5,158680.0,0.65,5989.200000000001,5930.0,6762.974999999999,6667.7
2018-11-19,4883.8,5660.4,5662.5,4831.1,478260.0,-13.69,5712.700000000001,5653.5,6681.474999999999,6667.7
2018-11-20,4524.6,4883.6,5013.4,4272.3,714080.0,-7.36,5433.3,5374.1,6657.674999999999,6667.7
2018-11-21,4638.7,4523.0,4743.7,4393.0,412740.0,2.52,5433.3,5369.55,6655.275,6667.7
2018-11-22,4356.0,4646.4,4695.7,4346.7,261850.00000000003,-6.09,5433.3,5362.8,6627.525,6667.7
2018-11-23,4398.0,4360.9,4455.6,4223.7,348990.0,0.96,5409.0,5051.1,6667.224999999999,6667.7
2018-11-24,3920.4,4397.3,4494.6,3821.5,382720.0,-10.86,5207.9,4784.6,6629.549999999999,6667.7
2018-11-25,4062.2,3920.3,4198.4,3634.2,619950.0,3.62,5114.25,4681.049999999999,6621.95,6667.7
2018-11-26,3837.0,4061.0,4179.0,3679.8,571040.0,-5.54,5114.25,4681.049999999999,6604.049999999999,6667.7
2018-11-27,3866.5,3840.3,3920.6,3687.8,457270.0,0.77,5114.25,4648.35,6604.049999999999,6667.7
2018-11-28,4265.4,3866.4,4391.8,3866.4,533040.0,10.32,5114.25,4323.799999999999,6598.224999999999,6667.7
2018-11-29,4296.5,4265.5,4440.1,4140.6,414460.0,0.73,5114.25,4188.95,6598.224999999999,6667.7
2018-11-30,4039.7,4296.8,4340.6,3954.5,444520.0,-5.98,5114.25,4164.95,6589.099999999999,6667.7
2018-12-01,4196.2,4038.7,4299.1,3967.1,316300.0,3.87,5114.25,4064.4,6582.825,6667.7
2018-12-02,4160.4,4196.2,4316.1,4105.3,298630.0,-0.85,5114.25,4064.4,6583.150000000001,6667.7
2018-12-03,3897.8,4160.3,4177.0,3839.9,355100.0,-6.31,5105.75,4037.15,6617.075000000001,6667.7
2018-12-04,3958.5,3899.9,4082.9,3809.3,326710.0,1.56,5065.15,4059.9500000000003,6617.075000000001,6667.7
2018-12-05,3771.6,3958.1,3974.1,3765.2,341600.0,-4.72,5055.049999999999,4063.9500000000003,6639.175,6667.7
2018-12-06,3508.6,3771.4,3887.2,3505.7,467540.0,-6.97,4990.799999999999,3972.9,6508.75,6667.7
2018-12-07,3422.2,3508.9,3626.6,3251.8,639330.0,-2.46,4863.85,3845.9500000000003,6486.05,6667.7
2018-12-08,3430.4,3422.3,3507.7,3302.9,424400.0,0.24,4859.3,3796.2000000000003,6486.85,6667.7
2018-12-09,3567.5,3430.3,3677.6,3424.2,327930.0,4.0,4852.55,3783.9500000000003,6463.55,6667.7
2018-12-10,3460.5,3566.9,3622.4,3412.7,394490.0,-3.0,4565.15,3783.9500000000003,6118.95,6488.799999999999
2018-12-11,3407.7,3460.4,3485.9,3349.9,418530.0,-1.53,4499.75,3714.4,6001.400000000001,6371.25
2018-12-12,3466.1,3390.2,3510.2,3379.4,391170.0,1.72,4489.85,3667.3500000000004,5989.55,6371.25
2018-12-13,3315.3,3466.2,3474.4,3284.8,435890.0,-4.35,4489.85,3612.95,5964.650000000001,6371.25
2018-12-14,3247.8,3315.4,3336.6,3199.1,445560.0,-2.04,4430.8,3543.1499999999996,5959.6,6371.25
2018-12-15,3228.7,3247.8,3282.3,3177.0,332950.0,-0.59,4095.2,3427.3,5683.1,6094.75
2018-12-16,3247.9,3228.6,3305.0,3225.9,335690.0,0.6,3960.35,3427.3,5403.700000000001,5815.35
2018-12-17,3526.1,3248.3,3597.4,3243.1,534780.0,8.57,3936.35,3427.3,5401.425,5815.35
2018-12-18,3668.0,3526.0,3683.1,3456.9,698530.0,4.02,3835.8,3430.05,5398.05,5815.35
2018-12-19,3687.1,3668.1,3924.7,3647.5,792400.0,0.52,3835.8,3550.85,5230.05,5791.049999999999
2018-12-20,4076.0,3687.2,4140.3,3665.8,958580.0,10.55,3808.55,3658.65,4996.25,5589.95
2018-12-21,3850.9,4075.2,4153.1,3786.9,748760.0,-5.52,3808.55,3665.05,4897.65,5496.299999999999
2018-12-22,3964.4,3850.9,3977.2,3803.7,554590.0,2.95,3808.55,3665.05,4897.65,5496.299999999999
2018-12-23,3944.4,3964.3,4037.1,3904.6,572210.0,-0.5,3808.55,3665.05,4881.3,5496.299999999999
2018-12-24,4026.1,3944.5,4208.2,3941.9,716290.0,2.07,3808.55,3717.05,4719.025,5496.299999999999
2018-12-25,3762.5,4025.6,4030.7,3676.5,670940.0,-6.55,3758.8,3725.6499999999996,4651.6,5496.299999999999
2018-12-26,3793.7,3762.8,3841.9,3680.3,567110.0,0.83,3746.55,3832.55,4639.6,5496.299999999999
2018-12-27,3586.9,3793.4,3822.6,3560.8,543440.0,-5.45,3746.55,3884.5,4589.325,5496.299999999999
2018-12-28,3861.6,3587.1,3900.3,3565.5,565240.0,7.66,3692.6,3884.5,4589.325,5496.299999999999
2018-12-29,3706.8,3861.6,3899.6,3696.0,505410.0,-4.01,3692.6,3884.5,4571.45,5496.299999999999
2018-12-30,3815.0,3708.2,3837.7,3682.5,519169.99999999994,2.92,3692.6,3884.5,4562.55,5496.299999999999
2018-12-31,3709.4,3815.1,3819.6,3658.8,545830.0,-2.77,3692.6,3884.5,4559.5,5496.299999999999
2019-01-01,3809.4,3709.5,3814.3,3664.4,469110.0,2.69,3692.6,3884.5,4481.849999999999,5171.2
