Change,PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,PriceBaseLineDistance,PriceConvLineDistance,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudWidth,ForwardCloudIntersectBear,ForwardCloudIntersectBull
-5.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1074.5500000000002,-125.25,0.0,0.0,0.0,-1248.4038461538476,0.0,0.0
3.87,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-918.0500000000002,131.79999999999973,0.0,0.0,0.0,-1252.1057692307695,0.0,0.0
-0.85,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-953.8500000000004,95.99999999999955,0.0,0.0,0.0,-1212.13076923077,0.0,0.0
-6.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1207.9499999999998,-139.3499999999999,0.0,0.0,0.0,-1183.9769230769234,0.0,0.0
1.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1106.6499999999996,-101.44999999999982,0.0,0.0,0.0,-1147.4307692307702,0.0,0.0
-4.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1283.4499999999994,-292.3499999999999,0.0,0.0,0.0,-1101.3423076923073,0.0,0.0
-6.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1482.1999999999994,-464.3000000000002,0.0,0.0,0.0,-1117.6230769230779,0.0,0.0
-2.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1441.6500000000005,-423.75,0.0,0.0,0.0,-1181.4365384615385,0.0,0.0
0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1428.9,-365.7999999999997,0.0,0.0,0.0,-1145.9673076923082,0.0,0.0
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1285.0500000000002,-216.44999999999982,0.0,0.0,0.0,-1097.6480769230784,0.0,0.0
-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1104.6499999999996,-323.4499999999998,0.0,0.0,0.0,-1182.6653846153868,0.0,0.0
-1.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1092.0500000000002,-306.7000000000003,0.0,0.0,0.0,-1189.2846153846167,0.0,0.0
1.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1023.7500000000005,-201.25,0.0,0.0,0.0,-1157.8192307692316,0.0,0.0
-4.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1174.5500000000002,-297.64999999999964,0.0,0.0,0.0,-1122.7019230769242,0.0,0.0
-2.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1183.0,-295.3499999999999,0.0,0.0,0.0,-1124.0326923076937,0.0,0.0
-0.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-866.5,-198.60000000000036,0.0,0.0,0.0,-1286.257692307693,0.0,0.0
0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.4499999999998,-179.4000000000001,0.0,0.0,0.0,-1291.007692307693,0.0,0.0
8.57,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-410.25,98.79999999999973,0.0,0.0,0.0,-1245.625000000001,0.0,0.0
4.02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-167.80000000000018,237.94999999999982,0.0,0.0,0.0,-1240.1750000000002,0.0,0.0
0.52,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-148.70000000000027,136.25,0.0,0.0,0.0,-1125.9480769230777,0.0,0.0
10.55,1.0,0.0,0.0,0.0,0.0,1.0,1.0,267.4499999999998,417.3499999999999,0.0,0.0,0.0,-1042.2307692307695,0.0,0.0
-5.52,1.0,0.0,0.0,0.0,0.0,1.0,1.0,42.34999999999991,185.8499999999999,0.0,0.0,0.0,-991.4384615384615,0.0,0.0
2.95,1.0,0.0,0.0,0.0,0.0,1.0,1.0,155.8499999999999,299.3499999999999,0.0,0.0,0.0,-945.2557692307691,0.0,0.0
-0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,135.8499999999999,279.3499999999999,0.0,0.0,0.0,-898.0230769230766,0.0,0.0
2.07,1.0,0.0,0.0,0.0,0.0,1.0,1.0,217.54999999999973,309.0499999999997,0.0,0.0,0.0,-825.8961538461535,0.0,0.0
